id,book_author,book_title,book_year
1,Alan Moore,Watchmen,1986
2,Frank Miller,Batman: The Dark Knight Returns,1986
3,Neil Gaiman,Sandman,1989
4,Chris Claremont,Uncanny X-Men: The Dark Phoenix Saga,1980
5,Frank Miller,Sin City: The Hard Goodbye,1991
6,Stan Lee,Spider-Man: The Amazing Spider-Man #1,1963
7,Grant Morrison,All-Star Superman,2005
8,Marjorie Liu,Monstress,2015
9,Art Spiegelman,Maus,1980
10,Brian K. Vaughan,Saga,2012
11,Robert Kirkman,The Walking Dead,2003
12,Gerry Conway,The Amazing Spider-Man #121: The Night Gwen Stacy Died,1973
13,Mark Waid,Kingdom Come,1996
14,Ed Brubaker,Criminal,2006
15,Chris Claremont,Uncanny X-Men #1 (Vol. 2),1991
16,Jeff Lemire,Old Man Logan,2015
17,Stan Lee,Fantastic Four: The Galactus Trilogy,1966
18,Scott Snyder,Batman: Court of Owls,2011
19,Joe Hill,Locke & Key,2008
20,Brian Michael Bendis,Ultimate Spider-Man,2000